variable,coef,std_err,t,p_value,ci_low,ci_high
const                   ,0.1085,0.017,6.324,0.0,0.075,0.142
date_2007-01-28 00:00:00,-0.0866,0.024,-3.652,0.0,-0.133,-0.04
date_2007-02-04 00:00:00,0.0113,0.024,0.468,0.64,-0.036,0.059
date_2007-02-11 00:00:00,0.0053,0.024,0.218,0.828,-0.042,0.053
date_2007-02-18 00:00:00,0.1545,0.024,6.468,0.0,0.108,0.201
date_2007-02-25 00:00:00,-0.5432,0.024,-22.851,0.0,-0.59,-0.497
date_2007-03-04 00:00:00,-0.007,0.024,-0.289,0.773,-0.054,0.04
date_2007-03-11 00:00:00,-0.1332,0.024,-5.534,0.0,-0.18,-0.086
date_2007-03-18 00:00:00,-0.4255,0.024,-17.802,0.0,-0.472,-0.379
date_2007-03-25 00:00:00,0.1484,0.024,6.07,0.0,0.1,0.196
date_2007-04-01 00:00:00,-0.0316,0.024,-1.3,0.194,-0.079,0.016
date_2007-04-08 00:00:00,-0.2757,0.024,-11.496,0.0,-0.323,-0.229
date_2007-04-15 00:00:00,0.036,0.024,1.503,0.133,-0.011,0.083
date_2007-04-22 00:00:00,-0.2529,0.024,-10.579,0.0,-0.3,-0.206
date_2007-04-29 00:00:00,-0.3108,0.024,-13.019,0.0,-0.358,-0.264
date_2007-05-06 00:00:00,-0.1579,0.024,-6.652,0.0,-0.204,-0.111
date_2007-05-13 00:00:00,-0.1571,0.024,-6.637,0.0,-0.204,-0.111
date_2007-05-20 00:00:00,-0.0321,0.024,-1.354,0.176,-0.079,0.014
date_2007-05-27 00:00:00,-0.0262,0.024,-1.107,0.268,-0.073,0.02
date_2007-06-03 00:00:00,-0.0985,0.024,-4.13,0.0,-0.145,-0.052
date_2007-06-10 00:00:00,-0.128,0.024,-5.276,0.0,-0.176,-0.08
date_2007-06-17 00:00:00,-0.1388,0.024,-5.747,0.0,-0.186,-0.091
date_2007-06-24 00:00:00,-0.0124,0.024,-0.507,0.612,-0.06,0.036
date_2007-07-01 00:00:00,0.0956,0.024,4.049,0.0,0.049,0.142
date_2007-07-08 00:00:00,0.1024,0.024,4.313,0.0,0.056,0.149
date_2007-07-15 00:00:00,-0.3677,0.024,-15.594,0.0,-0.414,-0.321
date_2007-07-22 00:00:00,-0.4574,0.024,-19.241,0.0,-0.504,-0.411
date_2007-07-29 00:00:00,0.0227,0.024,0.94,0.347,-0.025,0.07
date_2007-08-05 00:00:00,-0.1969,0.024,-8.296,0.0,-0.243,-0.15
